grid_id,n_landslides,total_area_m2,mean_compactness,density_km2,HLD_norm,MAG_norm,CHAN_norm,LS_LRSI,risk_class
0_0,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
0_1,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
0_2,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
0_3,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
0_4,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
0_5,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
0_6,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
0_7,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
0_8,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
0_9,1.0,2035.4060453666468,0.7933260652223849,1.0,0.02127659574422816,0.6741351989796831,0.14637305692908864,24.21534689518367,Medium
0_10,3.0,21788.255163918395,0.19078607434621034,3.0,0.06382978723268448,0.8838566829825757,0.922367951221979,48.15454887555107,Very High
0_11,1.0,1241.8453625683055,0.2796439486730176,1.0,0.02127659574422816,0.6304445413218667,0.8079303075146221,36.13577217715985,High
0_12,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
0_13,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
0_14,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
0_15,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
0_16,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
0_17,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
1_0,2.0,5316.594543169631,0.2756730045901509,2.0,0.04255319148845632,0.7590627733858214,0.8130443785812518,41.160430347622494,High
1_1,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
1_2,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
